TripId,StopId,StopSequence,ArrivalDelay,ArrivalTime,DepartureDelay,DepartureTime,ScheduleRelationship
255948649,9039040,6.0,83.0,,83.0,,Scheduled
285468731,8002634,,,,0.0,,Scheduled
285906088,907006,,,,0.0,,Scheduled
285468577,8000489,2.0,120.0,,60.0,,Scheduled
285797961,9019664,24.0,0.0,,0.0,,Scheduled
254164086,4314071,12.0,120.0,,120.0,,Scheduled
285905557,904627,,,,0.0,,Scheduled
285525136,8010322,,,,0.0,,Scheduled
285653111,1200056,,,,0.0,,Scheduled
285468572,8000152,,,,0.0,,Scheduled
280193457,9014237,43.0,-12.0,,0.0,,Scheduled
285533795,9340000,,,,0.0,,Scheduled
285468406,8000872,11.0,240.0,,240.0,,Scheduled
283317190,9026534,1.0,172.0,,172.0,,Scheduled
265523271,9011247,,,,0.0,,Scheduled
285907420,908000,,,,0.0,,Scheduled
285900574,907112,,,,0.0,,Scheduled
283262147,9043074,,,,0.0,,Scheduled
273196910,705595,,,,0.0,,Scheduled
285419937,8000193,,,,0.0,,Scheduled
280193805,9013936,44.0,0.0,,30.0,,Scheduled
285419979,9033817,,,,0.0,,Scheduled
255947358,9023925,35.0,0.0,,0.0,,Scheduled
285421584,9014515,,,,0.0,,Scheduled
285661716,1201216,11.0,-45.0,,0.0,,Scheduled
257708153,9000487,26.0,168.0,,168.0,,Scheduled
282136395,9049076,2.0,-175.0,,0.0,,Scheduled
285905167,990042,,,,0.0,,Scheduled
285523428,9048669,12.0,120.0,,120.0,,Scheduled
283314001,9028513,,,,0.0,,Scheduled
273205428,706045,,,,103.0,,Scheduled
285588291,8600087,,,,0.0,,Scheduled
285898799,900605,6.0,,,0.0,,Scheduled
285561896,8002549,,,,0.0,,Scheduled
285469283,8002634,,,,0.0,,Scheduled
285536555,8002549,,,,0.0,,Scheduled
285902475,905893,,,,0.0,,Scheduled
285537988,9067927,21.0,0.0,,60.0,,Scheduled
280182875,9014155,43.0,0.0,,30.0,,Scheduled
285523548,9098523,,,,0.0,,Scheduled
285685101,1201332,25.0,-77.0,,0.0,,Scheduled
283801669,9033882,29.0,0.0,,0.0,,Scheduled
285438107,8004819,,,,0.0,,Scheduled
285665403,1202149,,,,0.0,,Scheduled
285525255,9057819,,,,0.0,,Scheduled
285525808,9001717,,,,0.0,,Scheduled
285438213,9101825,,,,0.0,,Scheduled
285680488,890103,,,,0.0,,Scheduled
285674014,1202147,,,,0.0,,Scheduled
285892005,902545,18.0,,,56.0,,Scheduled
285903061,905768,,,,0.0,,Scheduled
285673365,1202225,,,,0.0,,Scheduled
254836217,9100970,32.0,0.0,,0.0,,Scheduled
285525405,8005413,,,,0.0,,Scheduled
285536964,9044660,,,,0.0,,Scheduled
265069356,9090300,40.0,0.0,,0.0,,Scheduled
285423706,8004908,3.0,120.0,,0.0,,Scheduled
285555484,8002549,,,,0.0,,Scheduled
283802922,9099591,,,,0.0,,Scheduled
285438155,9046671,,,,0.0,,Scheduled
283313678,9013962,,,,0.0,,Scheduled
285685592,1200732,,,,0.0,,Scheduled
285525432,9041699,,,,0.0,,Scheduled
275140454,9022788,,,,0.0,,Scheduled
285437972,9039654,4.0,420.0,,0.0,,Scheduled
273199893,705957,,,,0.0,,Scheduled
285437954,9043067,,,,0.0,,Scheduled
285672282,847772,15.0,19.0,,19.0,,Scheduled
285525834,9001717,,,,0.0,,Scheduled
275137035,9089401,,,,0.0,,Scheduled
285653110,1200056,,,,0.0,,Scheduled
257705602,9000273,4.0,,,,1686173100.0,Scheduled
285646761,1290178,5.0,74.0,,6.0,,Scheduled
285661678,1201226,14.0,-273.0,,,,Scheduled
285438355,8000751,,,,0.0,,Scheduled
285684033,1203175,27.0,99.0,,101.0,,Scheduled
285533910,8002549,,,,0.0,,Scheduled
283316704,9003861,,,,0.0,,Scheduled
285904137,906491,,,,0.0,,Scheduled
285890364,991231,37.0,,,76.0,,Scheduled
285665662,1290154,,,,0.0,,Scheduled
285421164,9013927,,,,0.0,,Scheduled
285437892,9066023,,,,0.0,,Scheduled
279371445,9085593,,,,0.0,,Scheduled
285797866,9019798,31.0,0.0,,0.0,,Scheduled
285888930,902661,,,,0.0,,Scheduled
