"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
1,0,0,0,0,0,0,0,20230422,20240420
2,0,0,0,0,0,0,0,20230422,20240420
3,0,0,0,0,0,0,0,20230422,20240420
4,0,0,0,0,0,0,0,20230422,20240420
5,0,0,0,0,0,0,0,20230422,20240420
6,0,0,0,0,0,0,0,20230422,20240420
7,0,0,0,0,0,0,0,20230422,20240420
8,0,0,0,0,0,0,0,20230422,20240420
9,0,0,0,0,0,0,0,20230422,20240420
10,0,0,0,0,0,0,0,20230422,20240420
11,0,0,0,0,0,0,0,20230422,20240420
12,0,0,0,0,0,0,0,20230422,20240420
13,0,0,0,0,0,0,0,20230422,20240420
14,0,0,0,0,0,0,0,20230422,20240420
15,0,0,0,0,0,0,0,20230422,20240420
16,0,0,0,0,0,0,0,20230422,20240420
17,0,0,0,0,0,0,0,20230422,20240420
18,0,0,0,0,0,0,0,20230422,20240420
19,0,0,0,0,0,0,0,20230422,20240420
20,0,0,0,0,0,0,0,20230422,20240420
21,0,0,0,0,0,0,0,20230422,20240420
22,0,0,0,0,0,0,0,20230422,20240420
23,0,0,0,0,0,0,0,20230422,20240420
24,0,0,0,0,0,0,0,20230422,20240420
25,0,0,0,0,0,0,0,20230422,20240420
26,0,0,0,0,0,0,0,20230422,20240420
27,0,0,0,0,0,0,0,20230422,20240420
28,0,0,0,0,0,0,0,20230422,20240420
29,0,0,0,0,0,0,0,20230422,20240420
30,0,0,0,0,0,0,0,20230422,20240420
31,0,0,0,0,0,0,0,20230422,20240420
32,0,0,0,0,0,0,0,20230422,20240420
33,0,0,0,0,0,0,0,20230422,20240420
34,0,0,0,0,0,0,0,20230422,20240420
35,0,0,0,0,0,0,0,20230422,20240420
36,0,0,0,0,0,0,0,20230422,20240420
37,0,0,0,0,0,0,0,20230422,20240420
38,0,0,0,0,0,0,0,20230422,20240420
39,0,0,0,0,0,0,0,20230422,20240420
40,0,0,0,0,0,0,0,20230422,20240420
41,0,0,0,0,0,0,0,20230422,20240420
42,0,0,0,0,0,0,0,20230422,20240420
43,0,0,0,0,0,0,0,20230422,20240420
44,0,0,0,0,0,0,0,20230422,20240420
45,0,0,0,0,0,0,0,20230422,20240420
46,0,0,0,0,0,0,0,20230422,20240420
47,0,0,0,0,0,0,0,20230422,20240420
48,0,0,0,0,0,0,0,20230422,20240420
49,0,0,0,0,0,0,0,20230422,20240420
50,0,0,0,0,0,0,0,20230422,20240420
51,0,0,0,0,0,0,0,20230422,20240420
52,1,1,1,1,1,0,0,20230422,20240420
53,1,1,1,1,1,1,0,20230422,20240420
54,0,0,0,0,0,1,1,20230422,20240420
55,1,1,1,1,1,1,1,20230422,20240420
56,1,1,1,1,1,1,1,20230422,20240420
57,0,0,0,0,0,0,0,20230422,20240420
58,1,1,1,1,1,1,1,20230422,20240420
59,0,0,0,0,0,0,0,20230422,20240420
60,1,1,1,1,1,1,1,20230422,20240420
61,1,1,1,1,1,1,1,20230422,20240420
62,1,1,1,1,1,1,1,20230422,20240420
63,0,0,0,0,0,0,0,20230422,20240420
64,1,1,1,1,1,1,1,20230422,20240420
65,0,0,0,0,0,0,0,20230422,20240420
66,0,0,0,0,0,0,0,20230422,20240420
67,0,0,0,0,0,0,0,20230422,20240420
68,1,1,1,1,1,1,1,20230422,20240420
69,1,1,1,1,1,1,1,20230422,20240420
70,0,0,0,0,0,0,0,20230422,20240420
71,1,1,1,1,1,0,0,20230422,20240420
72,1,1,1,1,1,1,0,20230422,20240420
73,1,1,1,1,1,1,1,20230422,20240420
74,1,1,1,1,1,1,1,20230422,20240420
75,1,1,1,1,1,1,1,20230422,20240420
76,1,1,1,1,1,1,1,20230422,20240420
77,1,1,1,1,1,1,1,20230422,20240420
78,1,1,1,1,1,1,1,20230422,20240420
79,1,1,1,1,1,1,1,20230422,20240420
80,1,1,1,1,1,1,1,20230422,20240420
81,1,1,1,1,1,1,1,20230422,20240420
82,1,1,1,1,1,1,1,20230422,20240420
83,0,0,0,0,0,0,0,20230422,20240420
84,0,0,0,0,0,1,0,20230422,20240420
85,0,0,0,0,0,0,1,20230422,20240420
86,0,0,0,0,0,0,0,20230422,20240420
87,1,1,1,1,1,0,0,20230422,20240420
88,1,1,1,1,1,1,1,20230422,20240420
89,1,1,1,1,1,1,1,20230422,20240420
90,1,1,1,1,1,1,1,20230422,20240420
91,1,1,1,1,1,1,1,20230422,20240420
92,1,1,1,1,1,0,0,20230422,20240420
93,0,0,0,0,0,0,0,20230422,20240420
94,0,0,0,0,0,1,1,20230422,20240420
95,0,0,0,0,0,1,1,20230422,20240420
96,0,0,0,0,0,0,0,20230422,20240420
97,1,1,1,1,1,1,1,20230422,20240420
98,1,1,1,1,1,1,1,20230422,20240420
99,0,0,0,0,0,0,0,20230422,20240420
100,0,0,0,0,0,0,0,20230422,20240420
101,1,1,1,1,1,1,1,20230422,20240420
102,0,0,0,0,0,0,0,20230422,20240420
103,0,0,0,0,0,0,0,20230422,20240420
104,1,1,1,1,1,0,0,20230422,20240420
105,0,0,0,0,0,0,0,20230422,20240420
106,1,1,1,1,1,0,0,20230422,20240420
107,0,0,0,0,0,1,1,20230422,20240420
108,0,0,0,0,0,0,0,20230422,20240420
109,0,0,0,0,0,1,0,20230422,20240420
110,0,0,0,0,0,0,0,20230422,20240420
111,0,0,0,0,0,0,0,20230422,20240420
112,0,0,0,0,0,1,1,20230422,20240420
113,1,1,1,1,1,1,1,20230422,20240420
114,0,0,0,0,0,0,0,20230422,20240420
115,0,0,0,0,0,0,0,20230422,20240420
116,0,0,0,0,0,1,1,20230422,20240420
117,1,1,1,1,1,0,0,20230422,20240420
118,0,0,0,0,0,1,1,20230422,20240420
119,0,0,0,0,0,0,0,20230422,20240420
120,0,0,0,0,0,0,0,20230422,20240420
121,1,1,1,1,1,0,0,20230422,20240420
122,1,1,1,1,1,0,0,20230422,20240420
123,1,1,1,1,1,1,1,20230422,20240420
124,1,1,1,1,1,1,1,20230422,20240420
125,0,0,0,0,0,0,0,20230422,20240420
126,1,1,1,1,1,1,1,20230422,20240420
127,0,0,0,0,0,0,0,20230422,20240420
128,1,1,1,1,1,1,1,20230422,20240420
129,0,0,0,0,0,0,0,20230422,20240420
130,0,0,0,0,0,0,0,20230422,20240420
131,0,0,0,0,0,0,0,20230422,20240420
132,0,0,0,0,0,0,0,20230422,20240420
133,0,0,0,0,0,1,0,20230422,20240420
134,0,0,0,0,0,0,0,20230422,20240420
135,0,0,0,0,0,1,1,20230422,20240420
136,0,0,0,0,0,1,1,20230422,20240420
137,0,0,0,0,0,0,0,20230422,20240420
138,0,0,0,0,0,0,0,20230422,20240420
139,0,0,0,0,0,0,1,20230422,20240420
140,0,0,0,0,0,0,1,20230422,20240420
141,1,0,1,1,1,0,0,20230422,20240420
142,1,1,1,1,1,0,0,20230422,20240420
143,0,0,0,0,1,0,0,20230422,20240420
144,1,1,1,1,1,0,0,20230422,20240420
145,0,0,0,0,0,0,0,20230422,20240420
146,0,0,0,0,0,0,0,20230422,20240420
147,1,0,1,1,1,0,0,20230422,20240420
148,1,1,1,1,1,1,0,20230422,20240420
149,0,0,0,0,0,0,0,20230422,20240420
150,1,1,1,1,1,1,1,20230422,20240420
151,0,0,0,0,0,0,0,20230422,20240420
152,1,1,1,1,1,1,1,20230422,20240420
153,1,1,1,1,1,1,1,20230422,20240420
154,0,0,0,0,0,0,0,20230422,20240420
155,1,1,1,1,1,1,1,20230422,20240420
156,0,0,0,0,0,0,0,20230422,20240420
157,0,0,0,0,0,0,0,20230422,20240420
158,1,1,1,1,1,0,0,20230422,20240420
159,1,1,1,1,1,0,0,20230422,20240420
160,1,1,1,1,1,1,1,20230422,20240420
161,1,1,1,1,1,1,1,20230422,20240420
162,0,0,0,0,0,0,0,20230422,20240420
163,1,1,1,1,1,1,1,20230422,20240420
164,0,0,0,0,0,0,0,20230422,20240420
165,0,0,0,0,0,1,1,20230422,20240420
166,1,1,1,1,1,1,1,20230422,20240420
167,0,0,0,0,0,0,0,20230422,20240420
168,1,1,1,1,1,0,1,20230422,20240420
169,0,0,0,0,0,0,0,20230422,20240420
